metric,label,direction,paired,A,B,n_A,n_B,mean_A,mean_B,diff_mean_B_minus_A,diff_ci_low,diff_ci_high,p_perm,cohens_d,cliffs_delta,p_perm_holm
return_env,Environment return,higher,True,baseline,paper6,20,20,2415.0134629068766,472.7097166027737,-1942.3037463041028,-2005.4044949872316,-1867.6106534558664,4.999750012499375e-05,-12.211870973708349,,0.00014999250037498125
return_env,Environment return,higher,True,baseline,exp6,20,20,2415.0134629068766,442.42578823397145,-1972.5876746729052,-2033.1588106982304,-1900.8647873656405,4.999750012499375e-05,-12.5221974747761,,0.00014999250037498125
return_env,Environment return,higher,True,paper6,exp6,20,20,472.7097166027737,442.42578823397145,-30.283928368802265,-32.65645643552173,-27.992786710492062,4.999750012499375e-05,-5.598370813868336,,0.00014999250037498125
return_total,Total return,higher,True,baseline,paper6,20,20,2415.0134629068766,169.4405474492489,-2245.572915457628,-2308.539393895086,-2170.9262912686418,4.999750012499375e-05,-14.085540476644107,,0.00014999250037498125
return_total,Total return,higher,True,baseline,exp6,20,20,2415.0134629068766,203.7791184942796,-2211.2343444125972,-2273.5406186507075,-2140.5359249310673,4.999750012499375e-05,-13.853459380596561,,0.00014999250037498125
return_total,Total return,higher,True,paper6,exp6,20,20,169.4405474492489,203.7791184942796,34.338571045030704,33.860122841488916,34.83291614181153,4.999750012499375e-05,30.207468489779657,,0.00014999250037498125
RMSE_deg,Tracking RMSE (deg),lower,True,baseline,paper6,20,20,43.23321352655562,9.773095966749798,-33.46011755980582,-34.77002046114739,-32.394608977830735,4.999750012499375e-05,-11.718188556647316,,0.00014999250037498125
RMSE_deg,Tracking RMSE (deg),lower,True,baseline,exp6,20,20,43.23321352655562,6.65106117862608,-36.582152347929544,-37.93798519645633,-35.52880918806237,4.999750012499375e-05,-12.820934065555171,,0.00014999250037498125
RMSE_deg,Tracking RMSE (deg),lower,True,paper6,exp6,20,20,9.773095966749798,6.65106117862608,-3.1220347881237185,-3.1399644836538783,-3.1054953658249485,4.999750012499375e-05,-76.65327244691412,,0.00014999250037498125
MAE_deg,Tracking MAE (deg),lower,True,baseline,paper6,20,20,33.66776218608864,6.690626437806266,-26.97713574828237,-27.92094565130331,-26.240432983310118,4.999750012499375e-05,-13.585719872980327,,0.00014999250037498125
MAE_deg,Tracking MAE (deg),lower,True,baseline,exp6,20,20,33.66776218608864,4.287140937756047,-29.38062124833259,-30.32594301284917,-28.64446865400003,4.999750012499375e-05,-14.78288564481968,,0.00014999250037498125
MAE_deg,Tracking MAE (deg),lower,True,paper6,exp6,20,20,6.690626437806266,4.287140937756047,-2.403485500050219,-2.4159208919348156,-2.3898398252609088,4.999750012499375e-05,-79.39240993278547,,0.00014999250037498125
speed,Forward speed (m/s),higher,True,baseline,paper6,20,20,3.943842678937956,-0.05378812361268033,-3.9976308025506366,-4.047690815629622,-3.9441871563524264,4.999750012499375e-05,-32.7580743059373,,0.00014999250037498125
speed,Forward speed (m/s),higher,True,baseline,exp6,20,20,3.943842678937956,-0.11403219325836338,-4.05787487219632,-4.105902064297728,-4.004191150246865,4.999750012499375e-05,-34.294445846120304,,0.00014999250037498125
speed,Forward speed (m/s),higher,True,paper6,exp6,20,20,-0.05378812361268033,-0.11403219325836338,-0.060244069645683046,-0.06491468231355513,-0.05558169157949956,4.999750012499375e-05,-5.5696198237036105,,0.00014999250037498125
ctrl_cost,Control cost,lower,True,baseline,paper6,20,20,0.0032042459231487546,0.0007924431817723749,-0.0024118027413763798,-0.002460647084296702,-0.0023718309922468018,4.999750012499375e-05,-23.011240791913217,,0.00014999250037498125
ctrl_cost,Control cost,lower,True,baseline,exp6,20,20,0.0032042459231487546,0.00111623027369337,-0.002088015649455385,-0.002137197457828738,-0.002048256224067772,4.999750012499375e-05,-19.99593764266408,,0.00014999250037498125
ctrl_cost,Control cost,lower,True,paper6,exp6,20,20,0.0007924431817723749,0.00111623027369337,0.0003237870919209951,0.0003191295393985454,0.00032871923247772836,4.999750012499375e-05,28.47580028532662,,0.00014999250037498125
ep_len,Episode length (steps),higher,True,baseline,paper6,20,20,488.5,500.0,11.5,2.3,22.95,0.1313434328283586,0.48322380988667063,,0.36133193340332986
ep_len,Episode length (steps),higher,True,baseline,exp6,20,20,488.5,500.0,11.5,2.3,22.25124999999998,0.12044397780110995,0.48322380988667063,,0.36133193340332986
ep_len,Episode length (steps),higher,True,paper6,exp6,20,20,500.0,500.0,0.0,0.0,0.0,1.0,0.0,,1.0
survival,Survival (0/1),higher,True,baseline,paper6,20,20,0.8,1.0,0.19999999999999996,0.05,0.4,0.12534373281335934,0.48733971723926073,,0.37603119844007804
survival,Survival (0/1),higher,True,baseline,exp6,20,20,0.8,1.0,0.19999999999999996,0.05,0.4,0.12609369531523423,0.48733971723926073,,0.37603119844007804
survival,Survival (0/1),higher,True,paper6,exp6,20,20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,1.0
